3065,#genre#
蒲江综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pjxw_4000.m3u8
彭州综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzxwzh_2000.m3u8
青白江综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/qbjxwzh_2000.m3u8
邛崃综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/qlds1t_2000.m3u8
双流综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/slgq_2000.m3u8
温江新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/wjytH264_2000.m3u8
新都综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xdzhpd_2000.m3u8
新津综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjzh_4000.m3u8
绵阳新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/myytH265_4000.m3u8
绵阳科技,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/myetH265_4000.m3u8
安州综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/azgq_2000.m3u8
北川综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/bcxwHD_2000.m3u8
涪城综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/fcgq_2000.m3u8
江油综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwHD_2000.m3u8
平武综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pwgq_4000.m3u8
盐亭综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ytzh_2000.m3u8
梓潼综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ztgq_2000.m3u8
攀枝花新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzhytH265_4000.m3u8
攀枝花文旅,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzhggpd_2000.m3u8
攀钢新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pgxwzh_2000.m3u8
米易综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/myxwzh_2000.m3u8
盐边综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybtgq_2000.m3u8
仁和新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/rhxwH264_2000.m3u8
广元综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gyzhH265_4000.m3u8
广元文化生活,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gyggH265_4000.m3u8
朝天综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ctxwzh_2000.m3u8
苍溪综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/cxxwgqH265_4000.m3u8
剑阁综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/jgxwzhH265_4000.m3u8
利州综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lzxwzh_2000.m3u8
青川综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/qcxwzhH265_4000.m3u8
旺苍新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/wcxwzhH265_4000.m3u8
昭化综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/zhxwzh_2000.m3u8
古蔺新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/glxwzhgq_2000.m3u8
合江新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/hjxw_2000.m3u8
泸县综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lxxwzh_2000.m3u8
纳溪,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/nxxw_2000.m3u8
叙永综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xyxw_2000.m3u8
德阳新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyxwgq-HD-_2000.m3u8
德阳文旅,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dygggq-HD-_2000.m3u8
广汉综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ghxwzh_2000.m3u8
旌阳综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwgq-HD-_2000.m3u8
罗江综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ljxwzh_2000.m3u8
绵竹综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/mzxwzh_2000.m3u8
中江新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/zjxwzh_2000.m3u8
宜宾新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybytH264_2000.m3u8
宜宾公共,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybetH264_2000.m3u8
宜宾导视,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybds_2000.m3u8
珙县新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gxzh_2000.m3u8
江安综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/jat_2000.m3u8
南溪综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/nxt_2000.m3u8
屏山新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/psxwzh_2000.m3u8
兴文综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xwt_2000.m3u8
叙州新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybx_2000.m3u8
筠连新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ylyt_2000.m3u8
长宁综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/znzh_2000.m3u8
宁新综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/snxwzhHDH265_4000.m3u8
遂宁文化,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/sngggq_2000.m3u8
安居综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ajxw_2000.m3u8
大英新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyxwzhH265_4000.m3u8
蓬溪新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pxxw_2000.m3u8
乐山新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsxwzh_4000.m3u8
乐山文旅,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsggpd_4000.m3u8
峨边综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ebdst_2000.m3u8
夹江新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/jjxw_2000.m3u8
金口河综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/jkhdst_2000.m3u8
井研新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwzh162_2000.m3u8
马边综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/mbxwzh_2000.m3u8
沐川综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/mcxw_2000.m3u8
犍为新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/qwxwzh_2000.m3u8
沙湾融媒,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/swxwzh_2000.m3u8
五通桥综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/wtqxwzh_2000.m3u8
内江综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/njzh_4000.m3u8
内江公共,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/njgg_4000.m3u8
东兴综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dxxwzh_4000.m3u8
隆昌综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lcxw_2000.m3u8
资中综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/zzzh_2000.m3u8
南充综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ncxwzh_2000.m3u8
南充科教,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/nckj_4000.m3u8
阆中综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lzxw_2000.m3u8
南部综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/nbxw_2000.m3u8
蓬安综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pazh_2000.m3u8
西充新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xczh_2000.m3u8
仪陇新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ylxw_2000.m3u8
营山综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ysxw_2000.m3u8
达州新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzxwzh_2000.m3u8
达州文化,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzgg_2000.m3u8
达州导视,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzds_2000.m3u8
达川新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dcxwzh_2000.m3u8
大竹新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzxwzh137_2000.m3u8
开江新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/kjxwzh_2000.m3u8
渠县新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/qxxwzh_2000.m3u8
通川综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xcxwzhH264_2000.m3u8
万源综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/wyxwzh_2000.m3u8
宣汉新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xhxwzh_2000.m3u8
雅安新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/yazh_2000.m3u8
雅安公共,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/yagg_2000.m3u8
雅安雨城,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ycpd_2000.m3u8
宝兴综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/bxdst_2000.m3u8
汉源新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/hyxwzh_2000.m3u8
芦山新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lszh_2000.m3u8
名山综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/msdstH265_2000.m3u8
石棉综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/smxwzh_2000.m3u8
天全新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/tqzh_2000.m3u8
荥经综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjdst_2000.m3u8
广安公共,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gagg_2000.m3u8
广安区综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gaqxw_2000.m3u8
华蓥综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/hyxw_2000.m3u8
邻水综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsxw_2000.m3u8
前锋综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/qfxw_2000.m3u8
武胜综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/wsxw_2000.m3u8
岳池综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ycxw_2000.m3u8
巴中综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/bzytH265_4000.m3u8
巴中文旅,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/bzetH264_2000.m3u8
巴州电视,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/bzxw_4000.m3u8
恩阳新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/eyxw_2000.m3u8
南江综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/njxw_2000.m3u8
平昌综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pcxw_2000.m3u8
通江综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/tjxwH265_4000.m3u8
眉山综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/msxwzhgq_2000.m3u8
眉山文旅乡村,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/msgg_2000.m3u8
丹棱新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dlxwzhH265_4000.m3u8
洪雅新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/hyzh_2000.m3u8
彭山综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pszh_2000.m3u8
青神综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/qszh_2000.m3u8
仁寿综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/msrszh_2000.m3u8
凉山新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsxwHDH265_4000.m3u8
凉山彝语,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/yyzh_2000.m3u8
德昌综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/dcxw_4000.m3u8
会理新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/hlyt_4000.m3u8
木里综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/mltHD_4000.m3u8
冕宁综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/mnxw_2000.m3u8
宁南综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/nnt_4000.m3u8
普格新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/pgt_4000.m3u8
西昌综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xctHD_2000.m3u8
喜德综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/xdxw_4000.m3u8
越西综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/yxt_4000.m3u8
资阳新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/zyxwzh_2000.m3u8
雁江综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/yjxw_2000.m3u8
安岳新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ayxwzh_4000.m3u8
乐至综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/lezhixwzh_4000.m3u8
自贡新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/zgxw_4000.m3u8
自贡文化生活,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/zggg_4000.m3u8
富顺综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/fszh_2000.m3u8
荣县综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/rxzh_2000.m3u8
甘孜新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gzxwzh_2000.m3u8
泸定综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/ldxw_4000.m3u8
康定综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gzkdxwzh_2000.m3u8
黑水新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/hsxwzhpdH264_2000.m3u8
马尔康新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/mekxwzhpd_2000.m3u8
松潘新闻,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/spxwzhpdH264_2000.m3u8
三台一套,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/stxwHD_2000.m3u8
高县一套,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/gxt_2000.m3u8
峨眉山综合,http://117.40.150.14:2380/hw1live.rxip.sc96655.com.huan.tv/live/emsxw_2000.m3u8
